Alpha,Time,X,Y,Orientation
0.0,0,250,250,-90.0
0.0,0.1,250.0,248.0,-90.0
0.0,0.2,250.0,246.0,-90.0
0.0,0.3,250.0,244.0,-90.0
0.0,0.4,250.0,242.0,-90.0
0.0,0.5,250.0,240.0,-90.0
0.593055227345987,0.6,250.000690076,238.000000159,-89.9604615728
0.593055227345987,0.7,250.002760303,236.00000127,-89.9209231456
0.593055227345987,0.8,250.006210679,234.000004286,-89.8813847184
0.593055227345987,0.9,250.011041205,232.000010159,-89.8418462912
0.593055227345987,1.0,250.017251876,230.000019842,-89.802307864
0.7960338321492813,1.1,250.0250789,228.000035229,-89.749235527
0.7960338321492813,1.2,250.034758481,226.000058724,-89.6961631901
0.7960338321492813,1.3,250.046290609,224.000092043,-89.6430908531
0.7960338321492813,1.4,250.059675275,222.000136903,-89.5900185161
0.7960338321492813,1.5,250.074912468,220.000195018,-89.5369461791
1.2222260592470888,1.6,250.092498207,218.000272503,-89.4554520802
1.2222260592470888,1.7,250.112928499,216.000377023,-89.3739579813
1.2222260592470888,1.8,250.136203301,214.000512626,-89.2924638824
1.2222260592470888,1.9,250.162322566,212.000683355,-89.2109697834
1.2222260592470888,2.0,250.191286242,210.000893259,-89.1294756845
1.962797205598184,2.1,250.223956525,208.001160548,-88.9985713254
1.962797205598184,2.2,250.261195532,206.001507699,-88.8676669663
1.962797205598184,2.3,250.303003069,204.00194515,-88.7367626072
1.962797205598184,2.4,250.349378918,202.002483337,-88.605858248
1.962797205598184,2.5,250.400322836,200.003132698,-88.4749538889
2.239030458471169,2.6,250.456156274,198.00391276,-88.3256091612
2.239030458471169,2.7,250.517200598,196.004845146,-88.1762644335
2.239030458471169,2.8,250.583455393,194.005943438,-88.0269197059
2.239030458471169,2.9,250.654920208,192.007221217,-87.8775749782
2.239030458471169,3.0,250.731594559,190.008692063,-87.7282302505
2.992249023372963,3.1,250.814355412,188.010406149,-87.5285654267
2.992249023372963,3.2,250.904079393,186.012420774,-87.328900603
2.992249023372963,3.3,251.000765411,184.014760201,-87.1292357792
2.992249023372963,3.4,251.104412293,182.017448689,-86.9295709554
2.992249023372963,3.5,251.21501878,180.020510493,-86.7299061317
3.5746245904486593,3.6,251.33326218,178.024010376,-86.4912881477
3.5746245904486593,3.7,251.459819295,176.028020017,-86.2526701638
3.5746245904486593,3.8,251.594687928,174.032574034,-86.0140521798
3.5746245904486593,3.9,251.73786574,172.037707038,-85.7754341959
3.5746245904486593,4.0,251.889350248,170.043453628,-85.5368162119
3.6297291226936714,4.1,252.049202987,168.049853583,-85.2945100333
3.6297291226936714,4.2,252.217485287,166.056947387,-85.0522038548
3.6297291226936714,4.3,252.394194137,164.064770683,-84.8098976762
3.6297291226936714,4.4,252.579326379,162.0733591,-84.5675914977
3.6297291226936714,4.5,252.772878701,160.082748255,-84.3252853191
4.409501355813628,4.6,252.975754686,158.093066741,-84.0307368061
4.409501355813628,4.7,253.188856583,156.104454468,-83.7361882932
4.409501355813628,4.8,253.412178758,154.116963991,-83.4416397802
4.409501355813628,4.9,253.645715311,152.130647836,-83.1470912672
4.409501355813628,5.0,253.88946007,150.145558497,-82.8525427542
5.2090755733027185,5.1,254.144335816,148.161868491,-82.5043110686
5.2090755733027185,5.2,254.41126323,146.179764194,-82.1560793829
5.2090755733027185,5.3,254.690232453,144.199318825,-81.8078476973
5.2090755733027185,5.4,254.981233179,142.22060554,-81.4596160117
5.2090755733027185,5.5,255.284254659,140.243697432,-81.1113843261
5.739901834746388,5.6,255.59990112,138.26876646,-80.7274389092
5.739901834746388,5.7,255.928774628,136.295994996,-80.3434934924
5.739901834746388,5.8,256.270860415,134.325471628,-79.9595480756
5.739901834746388,5.9,256.626143119,132.35728484,-79.5756026587
5.739901834746388,6.0,256.994606787,130.391523014,-79.1916572419
6.730131621130974,6.1,257.37737908,128.428498627,-78.7409068078
6.730131621130974,6.2,257.775582636,126.468546256,-78.2901563737
6.730131621130974,6.3,258.189192811,124.511787203,-77.8394059396
6.730131621130974,6.4,258.618184007,122.558342573,-77.3886555055
6.730131621130974,6.5,259.062529673,120.608333265,-76.9379050714
7.206236534464509,6.6,259.522749312,118.662010014,-76.4549399804
7.206236534464509,6.7,259.999358609,116.719635206,-75.9719748895
7.206236534464509,6.8,260.492323701,114.781346855,-75.4890097985
7.206236534464509,6.9,261.00160956,112.84728268,-75.0060447075
